SSA (m2/g),ID/IG,%N,%O,%S,Current density (A/g),Specific capacitance (F/g),Calculated pH
649.0,1.02,4.12,8.21,0.0,4.0,166.0,14.78
649.0,1.02,4.12,8.21,0.0,5.0,162.0,14.78
649.0,1.02,4.12,8.21,0.0,20.0,151.0,14.78
85.0,1.0,3.08,9.26,0.0,0.5,99.0,14.78
85.0,1.0,3.08,9.26,0.0,1.0,95.0,14.78
85.0,1.0,3.08,9.26,0.0,2.0,89.0,14.78
85.0,1.0,3.08,9.26,0.0,3.0,83.0,14.78
85.0,1.0,3.08,9.26,0.0,4.0,80.5,14.78
85.0,1.0,3.08,9.26,0.0,5.0,79.8,14.78
85.0,1.0,3.08,9.26,0.0,20.0,67.0,14.78
198.0,0.98,1.3,11.9,0.2,0.5,298.0,14.78
198.0,0.98,1.3,11.9,0.2,1.0,239.0,14.78
198.0,0.98,1.3,11.9,0.2,2.0,212.0,14.78
198.0,0.98,1.3,11.9,0.2,3.0,201.0,14.78
198.0,0.98,1.3,11.9,0.2,5.0,194.0,14.78
198.0,0.98,1.3,11.9,0.2,10.0,180.0,14.78
260.0,0.99,1.5,11.5,0.3,0.5,431.0,14.78
260.0,0.99,1.5,11.5,0.3,1.0,309.0,14.78
260.0,0.99,1.5,11.5,0.3,2.0,263.0,14.78
260.0,0.99,1.5,11.5,0.3,3.0,218.0,14.78
260.0,0.99,1.5,11.5,0.3,5.0,206.0,14.78
260.0,0.99,1.5,11.5,0.3,10.0,193.0,14.78
238.0,0.99,1.6,10.7,0.3,0.5,303.0,14.78
238.0,0.99,1.6,10.7,0.3,1.0,211.0,14.78
238.0,0.99,1.6,10.7,0.3,2.0,182.0,14.78
238.0,0.99,1.6,10.7,0.3,3.0,171.0,14.78
238.0,0.99,1.6,10.7,0.3,5.0,164.0,14.78
238.0,0.99,1.6,10.7,0.3,10.0,151.0,14.78
1478.0,0.84,6.92,7.98,0.42,1.0,270.0,-0.0
1738.0,0.89,6.35,8.23,0.31,1.0,364.0,-0.0
2095.0,0.41,5.05,8.94,0.23,1.5,529.0,-0.0
2095.0,0.41,5.05,8.94,0.23,3.0,424.8,-0.0
2095.0,0.41,5.05,8.94,0.23,6.0,420.0,-0.0
2095.0,0.41,5.05,8.94,0.23,8.0,377.6,-0.0
2095.0,0.41,5.05,8.94,0.23,30.0,347.5,-0.0
830.0,0.97,8.4,9.2,0.0,0.2,223.0,14.78
830.0,0.97,8.4,9.2,0.0,0.5,216.0,14.78
830.0,0.97,8.4,9.2,0.0,1.0,209.0,14.78
830.0,0.97,8.4,9.2,0.0,3.0,205.0,14.78
830.0,0.97,8.4,9.2,0.0,5.0,200.0,14.78
830.0,0.97,8.4,9.2,0.0,10.0,176.0,14.78
710.0,0.98,0.0,15.1,0.0,0.2,206.0,14.78
710.0,0.98,0.0,15.1,0.0,0.5,203.0,14.78
710.0,0.98,0.0,15.1,0.0,1.0,196.0,14.78
710.0,0.98,0.0,15.1,0.0,3.0,183.0,14.78
710.0,0.98,0.0,15.1,0.0,5.0,176.0,14.78
710.0,0.98,0.0,15.1,0.0,10.0,160.0,14.78
305.2,0.99,0.9,13.7,0.3,0.5,566.0,14.78
